Location,Issue,Suggestion,Demo Usage,Type
/api/staff/login,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/staff/login"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/test-sms,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/test-sms"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/payment-plans,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/payment-plans"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/callback,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/callback"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/auth/login,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/auth/login"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/auth/maintenance-login,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/auth/maintenance-login"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/geofence/check,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/geofence/check"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/system/health,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/system/health"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/expenses,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/expenses"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/system/performance/stats,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/system/performance/stats"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/analytics/revenue,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/analytics/revenue"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/client/bonds,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/client/bonds"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/alerts/unacknowledged,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/alerts/unacknowledged"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/court-reminders,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/court-reminders"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/arrest-logs/update-status,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/arrest-logs/update-status"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/bonds/active,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/bonds/active"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/skip-bail-risk,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/skip-bail-risk"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/auth/client-login,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/auth/client-login"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/upcoming-court-dates,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/upcoming-court-dates"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/credentials,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/credentials"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/white-pages/search,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/white-pages/search"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/notification-stats,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/notification-stats"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/analytics/compliance,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/analytics/compliance"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/client/checkins,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/client/checkins"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/tracking/location,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/tracking/location"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/roles,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/roles"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/court-dates/search,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/court-dates/search"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/bonds,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/bonds"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/collections/activities,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/collections/activities"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/audit/logs,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/audit/logs"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/alerts,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/alerts"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/clients,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/clients"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/analytics/overview,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/analytics/overview"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/court-scraping/search,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/court-scraping/search"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/audit/compliance-report,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/audit/compliance-report"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/analytics/geographic,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/analytics/geographic"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/forfeitures,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/forfeitures"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/arrest-monitoring/scan,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/arrest-monitoring/scan"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/auth/client,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/auth/client"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/court-dates/upcoming,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/court-dates/upcoming"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/arrest-logs/log-contact,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/arrest-logs/log-contact"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/login,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/login"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/system/performance/metrics,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/system/performance/metrics"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/court-dates,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/court-dates"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/system/security/report,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/system/security/report"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/admin/dashboard-stats,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/admin/dashboard-stats"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/arrest-logs/recent,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/arrest-logs/recent"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/terms/acknowledge,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/terms/acknowledge"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/analytics/top-locations,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/analytics/top-locations"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/court-dates/pending,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/court-dates/pending"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/arrest-monitoring/config,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/arrest-monitoring/config"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/data/storage-info,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/data/storage-info"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/tracking/active,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/tracking/active"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/payments,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/payments"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/client/login-phone,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/client/login-phone"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/notification-preferences,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/notification-preferences"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/arrest-monitoring/search-logs,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/arrest-monitoring/search-logs"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/data/cleanup,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/data/cleanup"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/arrest-logs/convert-to-client,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/arrest-logs/convert-to-client"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/client/login,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/client/login"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/dashboard/stats,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/dashboard/stats"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
/api/arrest-monitoring/records,Unlinked backend endpoint,Consider exposing this endpoint on the frontend or removing if obsolete,"// Example frontend call using fetch
fetch(""/api/arrest-monitoring/records"", {
  method: ""GET"",
  headers: {
    ""Content-Type"": ""application/json""
  }
})
.then(res => res.json())
.then(data => console.log(data));",Unlinked API Endpoint
